1,1,119.43,336.81,139.49,56.79000000000002,1,1,1.0
1,2,207.07,246.7,95.06,43.19999999999999,1,1,1.0
1,3,731.72,266.45,74.05999999999995,39.5,1,1,1.0
2,1,98.44,340.52,139.5,56.78000000000003,1,1,1.0
2,2,207.07,246.7,95.07999999999998,43.25,1,1,1.0
2,3,720.61,267.68,74.05999999999995,39.50999999999999,1,1,1.0
3,1,73.75,342.99,139.5,56.77999999999997,1,1,1.0
3,2,207.07,246.7,95.10000000000002,43.29000000000002,1,1,1.0
3,3,708.26,275.09,74.07000000000005,39.5,1,1,1.0
4,1,50.3,347.92,139.49,56.789999999999964,1,1,1.0
4,2,207.07,246.7,95.12,43.329999999999984,1,1,1.0
4,3,694.68,273.86,74.07000000000005,39.5,1,1,1.0
5,1,20.67,349.16,149.32999999999998,56.77999999999997,1,1,1.0
5,2,207.07,246.7,95.13999999999999,43.370000000000005,1,1,1.0
5,3,682.34,273.86,74.06999999999994,39.5,1,1,1.0
6,1,0.92,355.33,149.33,56.79000000000002,1,1,1.0
6,2,207.07,246.7,95.16000000000003,43.420000000000016,1,1,1.0
6,3,667.52,277.56,74.07000000000005,39.5,1,1,1.0
7,1,0.92,355.33,128.38000000000002,64.17000000000002,1,1,1.0
7,2,207.07,246.7,95.18,43.460000000000036,1,1,1.0
7,3,651.48,277.56,74.05999999999995,39.5,1,1,1.0
8,1,0.92,355.33,104.88,71.57,1,1,1.0
8,2,207.07,246.7,95.19999999999999,43.5,1,1,1.0
8,3,637.9,280.03,77.80000000000007,39.5,1,1,1.0
9,1,0.92,355.33,83.88,71.57,1,1,1.0
9,2,207.07,246.7,95.23000000000002,43.54000000000002,1,1,1.0
9,3,620.61,281.3,82.78999999999996,43.170000000000016,1,1,1.0
10,1,0.92,355.33,55.48,71.57,1,1,1.0
10,2,207.07,246.7,95.25,43.579999999999984,1,1,1.0
10,3,604.57,283.77,82.77999999999997,43.170000000000016,1,1,1.0
11,1,0.92,357.8,33.28,69.09999999999997,1,1,1.0
11,2,207.07,246.7,95.26999999999998,43.629999999999995,1,1,1.0
11,3,589.75,288.71,82.78999999999996,43.170000000000016,1,1,1.0
12,2,207.07,246.7,95.29000000000002,43.670000000000016,1,1,1.0
12,3,576.17,286.2,82.79000000000008,46.910000000000025,1,1,1.0
13,2,207.07,246.7,95.31,43.710000000000036,1,1,1.0
13,3,557.7,288.7,87.67999999999995,49.35000000000002,1,1,1.0
14,2,207.07,246.7,95.32999999999998,43.75,1,1,1.0
14,3,540.42,291.17,87.68000000000006,49.349999999999966,1,1,1.0
15,2,207.07,246.7,95.35000000000002,43.79000000000002,1,1,1.0
15,3,529.31,292.4,87.68000000000006,49.35000000000002,1,1,1.0
16,2,207.07,246.7,95.37,43.84000000000003,1,1,1.0
16,3,512.03,298.58,87.68000000000006,49.34000000000003,1,1,1.0
17,2,207.07,246.7,95.40000000000003,43.879999999999995,1,1,1.0
17,3,495.98,301.04,87.67999999999995,49.349999999999966,1,1,1.0
18,2,207.07,246.7,95.42000000000002,43.920000000000016,1,1,1.0
18,3,472.49,299.5,98.30999999999995,52.410000000000025,1,1,1.0
19,2,207.07,246.7,95.44,43.960000000000036,1,1,1.0
19,3,455.82,300.26,98.31,58.5,1,1,1.0
20,2,207.07,246.7,95.45999999999998,44.0,1,1,1.0
20,3,440.66,303.29,98.32,58.5,1,1,1.0
21,2,207.07,246.7,95.48000000000002,44.05000000000001,1,1,1.0
21,3,421.72,305.56,102.88,58.5,1,1,1.0
22,2,207.07,246.7,95.5,44.09000000000003,1,1,1.0
22,3,405.81,310.87,102.88,58.5,1,1,1.0
23,2,207.07,246.7,95.51999999999998,44.129999999999995,1,1,1.0
23,3,388.38,313.14,102.88,58.5,1,1,1.0
24,2,207.07,246.7,95.54000000000002,44.170000000000016,1,1,1.0
24,3,366.41,317.69,108.88999999999999,58.5,1,1,1.0
25,2,207.07,246.7,95.56,44.210000000000036,1,1,1.0
25,3,348.22,320.72,108.88999999999999,58.5,1,1,1.0
